polygon_id,cp7,n_door_points,mean_assignment_confidence,mean_door_building_distance_m,n_cp7_on_building,building_area_m2,split_method,building_postal_fragment_area_m2,polygon_method,geometry,consumo_anual_estimado_kWh
100127,3800-527,1,0.7,6.5521392103393685,1,635.6794922553731,whole_building_single_cp7,635.6794922553731,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-44006.99562894277 107841.7453087364, -43992.98024536345 107851.3875089198, -43998.46847724788 107859.3643449554, -43988.68280275027 107863.4825035792, -43982.5385413242 107854.5106875191, -43988.84626534667 107850.2125972281, -43984.66908633364 107844.083722539, -43979.77430047637 107847.4197926202, -43969.49487803031 107832.8000978844, -43988.48504983472 107819.9038253012, -43992.16420560342 107825.2507152282, -43992.70522849031 107826.0366990459, -43983.54663112619 107832.3378299476, -43984.13765610945 107833.1958122721, -43981.67676430052 107834.8878474295, -43986.82698496658 107842.4396928961, -43992.88971572282 107838.2046067747, -44001.38833856003 107832.2694859461, -44003.29025423397 107830.9424588836, -44004.6071958045 107830.0224401471, -44008.2763509334 107835.3563304941, -44006.99562894277 107841.7453087364)))",36482.631978665886
10018,3800-302,1,0.7,3.641049169303911,1,64.81711868283571,whole_building_single_cp7,64.81711868283571,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-40314.85943246368 110325.8209066701, -40326.07425157692 110322.4947199663, -40327.55851656082 110327.8725968693, -40316.44269480682 110331.1467822644, -40314.85943246368 110325.8209066701)))",3719.954970441972
1002,3800-903,2,0.7,0.0,1,78.35819353740763,whole_building_single_cp7,78.35819353740763,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-50403.22860921692 110687.77105263, -50398.27300242316 110697.9500442469, -50392.05011569834 110694.920202357, -50395.30485740123 110688.2352078743, -50397.00572242915 110684.7412107579, -50399.76267226881 110686.0831407037, -50402.74661798012 110687.5360648794, -50403.22860921692 110687.77105263)))",4497.098258110677
100206,3800-431,1,0.7,9.775039891878192,1,867.5474614379491,whole_building_single_cp7,867.5474614379491,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-44107.10615997341 107371.1547506859, -44103.29596953227 107364.9538706287, -44095.40428367459 107369.8029921206, -44094.26122651322 107367.9430281213, -44086.90385839842 107355.9722599428, -44086.89085775375 107355.9512603505, -44085.9028083129 107354.344291493, -44102.77713706437 107343.9730314612, -44103.80018822074 107345.6369992357, -44113.84978882924 107339.4608442009, -44115.01484705185 107341.3558075177, -44122.68454238875 107336.6416891197, -44123.62650502067 107336.0636745684, -44130.89886825392 107347.8964457286, -44125.90106679988 107350.9675228605, -44128.33018804861 107354.9194464552, -44122.95740434183 107358.2895288321, -44124.34247421793 107360.5614851341, -44107.10615997341 107371.1547506859)))",49789.89434970089
100209,3810-096,1,0.7,16.990873897738105,1,372.21842019850385,whole_building_single_cp7,372.21842019850385,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-44129.67110167332 107503.3043594267, -44154.62609832682 107487.8629787133, -44155.96816418033 107490.031936866, -44160.65139388165 107497.600790883, -44152.52372058014 107502.6299149164, -44154.42481383102 107505.7028556607, -44145.77716164071 107511.0529875206, -44143.84506683623 107507.930047764, -44135.66539604253 107512.992172403, -44129.67110167332 107503.3043594267)))",21362.192433804525
100212,3810-074,1,0.7,0.0,1,530.5819984668151,whole_building_single_cp7,530.5819984668151,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-44387.83914899998 107732.929705922, -44385.76020254219 107733.4437427588, -44385.19014212153 107731.6787659561, -44384.14617069652 107731.9797841598, -44382.70202037259 107727.5788424539, -44382.40802811142 107727.6558476369, -44380.59307583407 107728.1298796273, -44380.13201147453 107726.3099010997, -44378.90804433917 107726.6469225548, -44377.71391509909 107722.8839716379, -44375.96995946424 107723.3020026434, -44375.43788797529 107721.2730269436, -44374.13092065829 107721.5720502784, -44373.22178259055 107717.7020945846, -44371.03984107672 107718.3011328625, -44370.51577404513 107716.3891562152, -44369.47680184413 107716.6731744511, -44368.39566134414 107712.6732230195, -44369.60259636185 107711.5142075431, -44371.38750031273 107709.8011846401, -44369.36544952246 107707.6952384605, -44369.14743387184 107707.2102460406, -44369.12440820769 107706.5502510344, -44369.35538436857 107706.0392500644, -44369.66736270859 107705.6162469104, -44370.16734195523 107705.2922394207, -44370.69432704222 107705.1272303085, -44370.82032495394 107705.1252278713, -44370.78430001207 107704.4782330273, -44370.98128448703 107704.164231359, -44374.36510249441 107700.917187902, -44375.41412882789 107702.0091599813, -44376.64306271405 107700.8291441969, -44378.60511201425 107702.8730919737, -44380.04303469182 107701.4930734979, -44383.10211152619 107704.6799920898, -44385.27505744428 107704.186953217, -44386.0941866271 107707.7969124856, -44386.27019106897 107707.9809077989, -44388.44613869956 107707.5328685659, -44389.29526697735 107711.1328273322, -44391.64021347382 107710.7247845482, -44392.31534264689 107714.2777470342, -44394.80829164943 107713.9937005271, -44395.77742944452 107717.8856549893, -44397.75047883796 107719.9406025521, -44398.37049436468 107720.5865860754, -44387.83914899998 107732.929705922)))",30450.923807360356
100239,3800-431,1,0.7,8.332767430047747,1,341.89297925914286,whole_building_single_cp7,341.89297925914286,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-44145.47905141045 107332.9802629988, -44144.58200698751 107331.5292911449, -44139.69476459125 107323.6174445957, -44148.89639856496 107317.9313024363, -44160.8059252267 107310.5731182643, -44166.12071414537 107307.2900360092, -44170.99095539454 107315.173883232, -44171.90500066599 107316.6538545661, -44145.47905141045 107332.9802629988)))",19621.768344526183
100242,3810-193,1,0.7,4.3936399435355105,1,95.14368918920357,whole_building_single_cp7,95.14368918920357,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-44181.02324955897 107476.8125376349, -44169.11071351691 107483.8317223253, -44167.981654473 107481.9147581682, -44169.88130941265 107474.0017769838, -44171.28325482524 107473.1757552415, -44174.06014668144 107471.538712176, -44176.92203529301 107469.8526677724, -44181.02324955897 107476.8125376349)))",5460.443887322756
100259,3810-096,1,0.7,7.38053105634898,1,16.378385367721297,whole_building_single_cp7,16.378385367721297,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-44133.50048736036 107539.4490259908, -44136.35236318405 107537.4539842727, -44139.04947528366 107541.3099038275, -44136.19659948803 107543.3049455605, -44133.50048736036 107539.4490259908)))",939.9809385942823
10028,3800-346,1,0.7,4.3000225312443305,1,17.604690813939584,whole_building_single_cp7,17.604690813939584,building_footprints_with_conflict_voronoi_split,"MULTIPOLYGON (((-41501.05902611297 110989.4745065511, -41498.13475070275 110983.302670235, -41500.35669468969 110982.1656413653, -41503.43697030821 110988.3484741624, -41501.05902611297 110989.4745065511)))",1010.3605101124434
