ptd_id,zona
414,Aradas
73,Aveiro (Gl贸ria e Vera Cruz)
422,Aradas
367,Esgueira
15,Oliveirinha
129,Aveiro (Gl贸ria e Vera Cruz)
87,Aveiro
59,Aveiro
364,Esgueira
40,Cacia
279,Eixo
427,Esgueira
369,Oliveirinha
338,Cacia
479,Aradas
336,Aradas
106,Aveiro (Gl贸ria e Vera Cruz)
206,Aveiro (Gl贸ria e Vera Cruz)
293,Cacia
0,Aradas
330,Aradas
114,Aradas
131,Aradas
24,Aradas
132,Aradas
499,Oliveirinha
385,Aradas
238,Aradas
111,Aradas
154,Aveiro (Gl贸ria e Vera Cruz)
445,Aradas
326,Aradas
460,Oliveirinha
19,Aveiro (Gl髍ia e Vera Cruz)
200,Aveiro (Gl贸ria e Vera Cruz)
375,Aveiro (Gl贸ria e Vera Cruz)
145,Aveiro (Gl贸ria e Vera Cruz)
462,Esgueira
397,Esgueira
204,Esgueira
52,Esgueira
341,Esgueira
228,S鉶 Bernardo
136,Esgueira
212,S鉶 Bernardo
50,Esgueira
274,Aveiro (Gl贸ria e Vera Cruz)
396,Aradas
162,Esgueira
503,Esgueira
324,Esgueira
470,Aradas
56,Aveiro (Gl贸ria e Vera Cruz)
152,Aradas
22,S鉶 Bernardo
216,Aradas
138,Aradas
353,Aradas
382,Aveiro (Gl贸ria e Vera Cruz)
240,Aradas
174,Oliveirinha
34,Oliveirinha
507,Aradas
320,S鉶 Bernardo
26,Eixo
91,S鉶 Bernardo
252,S鉶 Bernardo
2,S鉶 Bernardo
327,S鉶 Bernardo
153,S鉶 Bernardo
150,S鉶 Bernardo
490,Oliveirinha
217,Oliveirinha
170,Oliveirinha
335,Oliveirinha
186,Aradas
122,Oliveirinha
331,Oliveirinha
498,Oliveirinha
317,Oliveirinha
428,Oliveirinha
35,Cacia
272,Aveiro (Gl贸ria e Vera Cruz)
16,Aveiro (Gl贸ria e Vera Cruz)
39,Cacia
49,Cacia
139,Cacia
65,Cacia
264,Aveiro (Gl贸ria e Vera Cruz)
70,Eixo
468,Esgueira
506,Esgueira
125,Esgueira
419,Esgueira
74,Aveiro (Gl贸ria e Vera Cruz)
9,Aveiro (Gl贸ria e Vera Cruz)
415,Esgueira
43,Esgueira
188,Requeixo
403,Aveiro (Gl贸ria e Vera Cruz)
146,Esgueira
386,Cacia
372,Cacia
466,Cacia
398,Esgueira
90,S鉶 Bernardo
195,Cacia
157,Cacia
283,Cacia
435,Cacia
89,Cacia
99,Cacia
124,Aveiro
290,S鉶 Bernardo
487,Eixo
420,Eixo
399,Aveiro
166,Nariz
289,Nariz
443,Eixo
344,S鉶 Bernardo
345,Cacia
355,Eixo
300,Cacia
464,Cacia
181,Esgueira
366,Cacia
370,S鉶 Bernardo
425,S鉶 Bernardo
359,Eixo
309,Eixo
189,Eixo
451,S鉶 Bernardo
287,S鉶 Bernardo
452,Eixo
164,Eixo
273,S鉶 Bernardo
251,S鉶 Bernardo
214,Aveiro
461,S鉶 Bernardo
438,Aveiro
247,Eixo
60,Cacia
305,Cacia
295,S鉶 Bernardo
268,S鉶 Bernardo
500,S鉶 Bernardo
361,Cacia
405,Esgueira
480,Aveiro
261,Aveiro
505,Esgueira
32,Aveiro (Gl贸ria e Vera Cruz)
179,Eixo
58,Eixo
209,Eixo
69,Nariz
337,Aveiro
123,Oliveirinha
433,Aveiro (Gl贸ria e Vera Cruz)
476,Aveiro
421,Aveiro
95,Aveiro
304,Aveiro
473,Aveiro
363,Eixo
115,Eixo
404,Esgueira
339,Aveiro (Gl贸ria e Vera Cruz)
456,Cacia
13,Aveiro (Gl贸ria e Vera Cruz)
83,S茫o Bernardo
340,Cacia
105,Aveiro
483,Cacia
275,Cacia
68,Cacia
482,Aveiro (Gl贸ria e Vera Cruz)
180,Aveiro (Gl贸ria e Vera Cruz)
423,Cacia
308,Nariz
315,Aveiro (Gl贸ria e Vera Cruz)
66,Cacia
255,Oliveirinha
259,Esgueira
