ptd_id;total_paineis_reais;potencia_real_kwp;producao_real_mwh_ano;consumo_anual_kwh;n_cp7_com_consumo;producao_anual_kwh;autoconsumo_kwh;excedente_kwh;racio_autossuficiencia;poupanca_ano1_eur;custo_instalacao_eur;val_eur;tir_pct;payback_anos
186;2453;1103.8500000000001;1642.7054160000002;645400.94036329;2.0;1642705.4160000002;645400.94036329;997304.4756367102;2.5452479432015345;211215.45887265803;2943600;-596955.733438205;4.586873992913409;15.0
188;439;197.55;293.986008;855712.6227097949;2.0;293986.00800000003;293986.00800000003;0.0;0.343556937455277;73496.50200000001;526800;289760.23641067825;12.775490981093062;8.0
189;460;207.0;308.0491200000001;346733.1091851026;1.0;308049.12000000005;308049.12000000005;0.0;0.8884329527225759;77012.28000000001;552000;303621.20443943504;12.775490981093062;8.0
190;1261;567.45;844.4563920000003;629390.9071681122;1.0;844456.3920000002;629390.9071681122;215065.484831888;1.3417041498097833;168101.00103362245;1513200;354434.36911441584;9.55811521853639;10.0
191;315;141.75;210.94668000000004;0.0;;210946.68000000005;0.0;210946.68000000005;;10547.334000000003;378000;-260817.09591372963;-3.084936894976126;
192;1370;616.5;917.4506400000001;530876.0614815184;3.0;917450.6400000001;530876.0614815184;386574.5785184817;1.7281823509609118;152047.7442963037;1644000;45279.60718865349;7.311382577096214;12.0
195;1504;676.8000000000001;1007.1866880000001;763471.2400262654;1.0;1007186.6880000001;763471.2400262654;243715.4479737347;1.3192202079090107;203053.58240525308;1804800;451164.2532765515;9.723868355960985;10.0
196;4411;1984.95;2953.923192;2687907.1219134335;4.0;2953923.1920000003;2687907.1219134335;266016.07008656673;1.098967731406284;685277.5839826867;5293200;2320365.4181724326;11.660426844453376;8.0
197;1359;611.5500000000001;910.0842480000001;572140.4279091655;2.0;910084.2480000001;572140.4279091655;337943.82009083463;1.5906658638436357;159932.2979818331;1630800;146078.5111670849;8.001312575207054;11.0
198;307;138.15;205.589304;434609.5416395076;1.0;205589.304;205589.304;0.0;0.4730436962438544;51397.326;368400;202634.15165849248;12.775490981093062;8.0
199;1941;873.45;1299.833352;803420.4703966553;2.0;1299833.3520000002;803420.4703966553;496412.8816033449;1.617874325953211;225675.76167933107;2329200;178101.004734;7.856741207494899;11.0
200;410;184.5;274.56552;181106.9182197059;1.0;274565.52;181106.9182197059;93458.60178029412;1.5160410364164933;49949.65964394118;492000;62950.30072981604;8.420900656102049;11.0
202;797;358.65000000000003;533.7285840000002;510540.1990133652;1.0;533728.5840000001;510540.1990133652;23188.38498663495;1.0454193127817304;128794.46900267305;956400;474531.25788776274;12.24015769568677;8.0
204;2498;1124.1000000000001;1672.8406560000005;440513.53131791385;2.0;1672840.6560000004;440513.53131791385;1232327.1246820865;3.797478481524168;171744.7390635828;2997600;-1089483.0023767746;2.4641835197293793;19.0
206;934;420.3;625.473648;2493453.616411505;1.0;625473.648;625473.648;0.0;0.2508463136764344;156368.412;1120800;616483.0542313748;12.775490981093062;8.0
207;845;380.25;565.8728400000001;679653.1906599726;2.0;565872.8400000001;565872.8400000001;0.0;0.8325905738050212;141468.21000000002;1014000;557738.9516333102;12.775490981093062;8.0
208;979;440.55;655.608888;160807.06436119013;1.0;655608.888;160807.06436119013;494801.8236388099;4.0769905887183615;64941.857272238034;1174800;-453283.50759377354;2.147481099486115;20.0
209;722;324.90000000000003;483.50318400000015;0.0;;483503.1840000001;0.0;483503.1840000001;;24175.15920000001;866400;-597809.3436498817;-3.084936894976126;
211;552;248.4;369.658944;316149.68017433654;2.0;369658.944;316149.68017433654;53509.26382566348;1.1692529430874532;81712.8832348673;662400;245445.80811834265;10.972110804005675;9.0
212;1006;452.7;673.6900320000001;906755.6452421205;2.0;673690.0320000001;673690.0320000001;0.0;0.7429675630198171;168422.50800000003;1207200;664006.3731871124;12.775490981093062;8.0
214;337;151.65;225.67946400000002;0.0;;225679.46400000004;0.0;225679.46400000004;;11283.973200000002;404400;-279032.89308865665;-3.084936894976126;
215;107;48.15;71.65490400000002;0.0;;71654.90400000001;0.0;71654.90400000001;;3582.7452000000008;128400;-88595.01353260019;-3.084936894976126;
216;774;348.3;518.326128;694835.8407756293;1.0;518326.128;518326.128;0.0;0.7459691880911101;129581.532;928800;510875.6787741798;12.775490981093062;8.0
217;226;101.7;151.345872;82552.48674971273;1.0;151345.872;82552.48674971273;68793.38525028728;1.8333290486918816;24077.790949942544;271200;-3691.1235866439974;6.84488984082715;12.0
218;1514;681.3000000000001;1013.8834080000003;759205.5843656841;2.0;1013883.4080000003;759205.5843656841;254677.8236343162;1.3354530431267828;202535.28727313684;1816800;433405.89493166935;9.603705289141995;10.0
219;1084;487.8;725.9244480000001;189741.8984586525;1.0;725924.4480000001;189741.8984586525;536182.5495413477;3.825852138599686;74244.60209173051;1300800;-475928.2280585245;2.4302136075916025;19.0
222;773;347.85;517.656456;2993031.523829172;2.0;517656.45600000006;517656.45600000006;0.0;0.1729538936956233;129414.11400000002;927600;510215.6326775723;12.775490981093062;8.0
223;105;47.25;70.31555999999999;0.0;;70315.56;0.0;70315.56;;3515.7780000000002;126000;-86939.0319712432;-3.084936894976126;
225;1088;489.6;728.6031360000001;389151.46061887144;2.0;728603.136;389151.46061887144;339451.6753811286;1.8722867822243177;114260.4489237743;1305600;-36144.49332041228;6.683600167505876;12.0
226;391;175.95000000000002;261.84175200000004;170583.18697740082;1.0;261841.75200000004;170583.18697740082;91258.56502259921;1.53497983382553;47208.72499548017;469200;55297.99097861791;8.311051582720996;11.0
227;283;127.35000000000001;189.51717600000003;0.0;;189517.17600000004;0.0;189517.17600000004;;9475.858800000002;339600;-234321.39093201738;-3.084936894976126;
228;3539;1592.55;2369.969208;1018518.4091165799;3.0;2369969.208;1018518.4091165799;1351450.7988834202;2.3268791087002656;322202.142223316;4246800;-667072.3902982777;5.1523192270635505;14.0
229;1272;572.4;851.822784;401072.61745404237;3.0;851822.784;401072.61745404237;450750.1665459576;2.1238617320904676;122805.66269080847;1526400;-162005.5290988332;5.766378497412516;13.0
230;454;204.3;304.03108800000007;700212.6719324966;1.0;304031.08800000005;304031.08800000005;0.0;0.43419820889689625;76007.77200000001;544800;299660.92785979033;12.775490981093062;8.0
231;1419;638.5500000000001;950.2645680000002;132458.81983836525;1.0;950264.5680000002;132458.81983836525;817805.7481616349;7.1740377059041744;74004.99236767305;1702800;-880590.3380582993;0.14551434302340072;25.0
232;68;30.6;45.537696000000004;0.0;;45537.696;0.0;45537.696;;2276.8848000000003;81600;-56303.37308613842;-3.084936894976126;
235;903;406.35;604.713816;0.0;;604713.816;0.0;604713.816;;30235.6908;1083600;-747675.6749526912;-3.084936894976126;
236;941;423.45;630.161352;253666.5064315253;1.0;630161.352;253666.5064315253;376494.8455684746;2.4842118924758623;82241.36888630506;1129200;-215482.6149122166;4.736315556429826;15.0
237;369;166.05;247.10896800000003;564616.8346522984;1.0;247108.96800000002;247108.96800000002;0.0;0.43765781116352004;61777.242000000006;442800;243557.00964815557;12.775490981093062;8.0
238;342;153.9;229.027824;126930.68616322165;1.0;229027.82400000002;126930.68616322165;102097.13783677838;1.8043534697786985;36837.52843264433;410400;-1127.9923914592446;6.968743950071088;12.0
239;1177;529.65;788.203944;389568.8844678796;1.0;788203.944;389568.8844678796;398635.0595321204;2.023272328529586;117323.97409357592;1412400;-108908.14099301431;6.109519101638272;13.0
240;1240;558.0;830.39328;484814.5053416279;1.0;830393.28;484814.5053416279;345578.7746583721;1.712806178137879;138482.56506832558;1488000;50567.86369164964;7.383740176234433;12.0
241;377;169.65;252.46634400000002;201968.4562109029;1.0;252466.344;201968.4562109029;50497.88778909712;1.2500285873174442;53017.00844218058;452400;136629.13430266242;10.266797765289837;9.0
242;1068;480.6;715.2096960000001;447936.4014686389;2.0;715209.6960000001;447936.4014686389;267273.2945313612;1.5966768801442757;125347.7650937278;1281600;111037.71626144198;7.969004627018384;11.0
243;1406;632.7;941.558832;1633275.5448229685;3.0;941558.832;941558.832;0.0;0.5764849874746983;235389.708;1687200;928024.8118300992;12.775490981093062;8.0
244;648;291.6;433.94745600000005;613600.9683677633;1.0;433947.45600000006;433947.45600000006;0.0;0.7072144249614556;108486.86400000002;777600;427709.87060163904;12.775490981093062;8.0
245;469;211.05;314.076168;891699.6326958414;1.0;314076.168;314076.168;0.0;0.35222193268204627;78519.042;562800;309561.6193089021;12.775490981093062;8.0
246;433;194.85;289.96797599999996;444357.6663904583;2.0;289967.97599999997;289967.97599999997;0.0;0.6525553578391609;72491.99399999999;519600;285799.95983103325;12.775490981093062;8.0
247;4447;2001.15;2978.0313840000003;0.0;;2978031.3840000005;0.0;2978031.3840000005;;148901.56920000003;5336400;-3682075.001677319;-3.084936894976126;
249;315;141.75;210.94668000000004;156823.13427566347;1.0;210946.68000000005;156823.13427566347;54123.54572433658;1.3451247545480012;41911.9608551327;378000;87649.92527538583;9.533326301061528;10.0
251;2239;1007.5500000000001;1499.3956080000003;0.0;;1499395.6080000002;0.0;1499395.6080000002;;74969.78040000002;2686800;-1853871.357939175;-3.084936894976126;
252;1138;512.1;762.0867360000001;999304.999932688;2.0;762086.736;762086.736;0.0;0.7626167546958469;190521.684;1365600;751132.4579392977;12.775490981093062;8.0
254;2351;1057.95;1574.3988720000002;1227189.2921304035;3.0;1574398.8720000002;1227189.2921304035;347209.57986959675;1.282930744340867;324157.8020260807;2821200;780255.3652741499;10.002171677122284;9.0
255;798;359.1;534.3982560000001;771277.3017974624;2.0;534398.256;534398.256;0.0;0.6928743459124034;133599.564;957600;526716.7850927591;12.775490981093062;8.0
